fips_cod,county,total,dem,gop,other,dem_prop,gop_prop,other_prop,state,state_name
46109,Roberts County,3886,1539,2142,205,0.3960370560988163,0.5512094698919197,0.05275347400926402,SD,South Dakota
17185,Wabash County,5402,1146,4039,217,0.21214365049981487,0.7476860422065902,0.04017030729359496,IL,Illinois
20121,Miami County,14712,3949,9839,924,0.2684203371397499,0.6687737901033171,0.06280587275693311,KS,Kansas
27147,Steele County,19040,6239,11198,1603,0.32767857142857143,0.5881302521008404,0.08419117647058824,MN,Minnesota
51063,Floyd County,7972,2300,5289,383,0.288509784244857,0.6634470647265429,0.0480431510286001,VA,Virginia
16027,Canyon County,72007,16683,46755,8569,0.2316858083241907,0.6493118724568445,0.11900231921896483,ID,Idaho
45041,Florence County,57770,26630,29498,1642,0.46096589925566905,0.510611043794357,0.028423056949974036,SC,South Carolina
29073,Gasconade County,7444,1519,5670,255,0.2040569586243955,0.761687264911338,0.03425577646426652,MO,Missouri
16013,Blaine County,10723,6416,3340,967,0.5983400167863471,0.31147999626970063,0.09017998694395225,ID,Idaho
31141,Platte County,14047,2612,10864,571,0.1859471773332384,0.7734035737168079,0.040649248949953726,NE,Nebraska
42027,Centre County,75394,36555,35099,3740,0.48485290606679576,0.465541024484707,0.04960606944849723,PA,Pennsylvania
13123,Gilmer County,12713,1955,10465,293,0.15377959568945174,0.8231731298670653,0.02304727444348305,GA,Georgia
12039,Gadsden County,22079,14994,6721,364,0.6791068436070474,0.30440690248652563,0.016486253906426922,FL,Florida
48175,Goliad County,3713,973,2618,122,0.26205224885537304,0.7050902235389174,0.03285752760570967,TX,Texas
05143,Washington County,78153,32296,40418,5439,0.4132406945350786,0.51716504804678,0.06959425741814133,AR,Arkansas
41019,Douglas County,51350,13891,34112,3347,0.27051606621226876,0.6643037974683544,0.06518013631937683,OR,Oregon
19179,Wapello County,14996,5591,8710,695,0.3728327554014404,0.580821552413977,0.04634569218458256,IA,Iowa
29151,Osage County,7078,998,5845,235,0.14100028256569652,0.8257982480926815,0.03320146934162193,MO,Missouri
28009,Benton County,3996,1713,2240,43,0.4286786786786787,0.5605605605605606,0.010760760760760761,MS,Mississippi
48179,Gray County,7360,699,6495,166,0.09497282608695652,0.8824728260869565,0.022554347826086958,TX,Texas
13009,Baldwin County,16075,7965,7691,419,0.4954898911353033,0.4784447900466563,0.026065318818040435,GA,Georgia
13023,Bleckley County,4934,1094,3717,123,0.2217267936765302,0.7533441426834212,0.02492906364004864,GA,Georgia
47071,Hardin County,9949,1622,8012,315,0.16303146044828626,0.8053070660367876,0.031661473514926125,TN,Tennessee
32023,Nye County,19592,5095,13320,1177,0.26005512454062885,0.6798693344222132,0.06007554103715802,NV,Nevada
39057,Greene County,79633,28023,47506,4104,0.35190184973566235,0.5965617269222558,0.0515364233420818,OH,Ohio
47081,Hickman County,7762,1823,5685,254,0.23486214893068796,0.7324143262045865,0.03272352486472559,TN,Tennessee
48473,Waller County,16715,5744,10525,446,0.3436434340412803,0.6296739455578821,0.026682620400837572,TX,Texas
55117,Sheboygan County,58290,22636,32368,3286,0.3883341911133985,0.5552925030022302,0.05637330588437125,WI,Wisconsin
08015,Chaffee County,10999,4773,5283,943,0.43394854077643424,0.480316392399309,0.08573506682425674,CO,Colorado
21161,Mason County,7212,1970,4944,298,0.27315585135884635,0.6855241264559068,0.04132002218524681,KY,Kentucky
41039,Lane County,181072,100497,66218,14357,0.5550112662366351,0.3656998321109835,0.07928890165238138,OR,Oregon
13003,Atkinson County,2604,696,1873,35,0.2672811059907834,0.7192780337941628,0.013440860215053764,GA,Georgia
09013,Tolland County,77069,38450,33989,4630,0.4989035799089128,0.4410203843309242,0.060076035760162974,CT,Connecticut
